審查機關,產品類別,廣告品名,申請廠商,廣告核准字號,核准起始日期,核准結束日期,廣告類別
"衛福部","化粧品","1.天草乳霜、2.天草萬應露、3.天草按摩露、4.天草面膜、5.天草胸膜、6.天草膏、7.天草護膚皂、8.天草按摩油","福良善企業社","衛部粧廣字10511063","1051109","1061112","網路"
"衛福部","化粧品","憂斯淨保濕緊緻精華霜","洋翔有限公司","衛部粧廣字10511078","1051116","1061116","電台(秒數:30秒)"
"臺北市","醫療器材","安啟適 覆甲液 (未滅菌)","新加坡商美納里尼醫藥有限公司台灣分公司","北市衛器廣字105110174","1051103","1061110","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","Arieforma MN300 艾麗膚玻妍微導眼膜","友華生技醫藥股份有限公司","北市衛粧廣字105110394","1051103","1061110","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","conoha 沐予 煥采海洋膠原洗顔皂,enherb 恩荷 甦活煥采洗髮露,enherb 恩荷 深層屏護潤髮乳","台灣三得利健益股份有限公司","北市衛粧廣字105110396","1051103","1061110","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","光感濾鏡瞬白霜,超導潤白面膜,淨瑕勻白精華","德典生技股份有限公司(原德典生技)","北市衛粧廣字105110395","1051103","1061110","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","藥品","癌思停 注射劑,癌思停 注射劑(瑞士廠)","羅氏大藥廠股份有限公司","北市衛藥廣字105110130","1051103","1061108","學術性醫療刊物"
"臺北市","藥品","截瘤達錠500公絲","羅氏大藥廠股份有限公司","北市衛藥廣字105110131","1051103","1061112","學術性醫療刊物"
"臺北市","藥品","賀癌寧凍晶注射劑","羅氏大藥廠股份有限公司","北市衛藥廣字105110132","1051103","1061108","學術性醫療刊物"
"臺北市","化粧品","艾詩緹保濕化妝水","恆昶實業股份有限公司","北市衛粧廣字105110434","1051103","1061113","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","妮維雅男士水活保濕精華乳液","台灣妮維雅股份有限公司","北市衛粧廣字105110433","1051103","1061113","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","SK-II 超肌因阻黑淨斑精華","台灣寶潔股份有限公司(由瑞士商寶潔家品有限公司台灣分公司營業及資產分割讓與)","北市衛粧廣字105110568","1051103","1061121","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","藥品","卡黴速停陰道錠500毫克","台灣拜耳股份有限公司","北市衛藥廣字105120027","1051103","1061202","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","大馬士革玫瑰活顏露,大馬士革玫瑰活顏14精萃","威旺國際生技股份有限公司","北市衛粧廣字105120049","1051103","1061130","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","大馬士革玫瑰深夜14活膚霜,大馬士革玫瑰潤透霜","威旺國際生技股份有限公司","北市衛粧廣字105120050","1051103","1061130","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"高雄市","醫療器材","星台法歐尼矯正鞋(未滅菌)法歐尼矯正鞋墊(未滅郡)","星台有限公司","高市衛醫器字10510020","1051102","1061102","電影、電視(秒數:2953);;網路"
"高雄市","化粧品","北海道馬油潤澤修護美肌面膜(天絲®)","塑兆億科技紙業有限公司","高市衛粧廣字10510124","1051103","1061102","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺南市","化粧品","HOPE GIRL驢乳全效乳珠霜,古寶蓮花超導活妍精華","無患子生技開發有限公司","南市衛粧廣字1051110024","1051221","1061221","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺南市","化粧品","古寶蓮花超導活妍精華","無患子生技開發有限公司","南市衛粧廣字1051110025","1051221","1061221","電影、電視(秒數:360秒)"
"衛福部","化粧品","1.清透保濕化妝水、2.舒緩保濕高效化妝水、3.舒緩保濕高效卸妝液、4.舒緩保濕高效乳液、5.清透溫和眼唇卸妝液、6.玻尿酸液、7.胺基酸修護精華護髮素、8.長效保濕天然沐浴精、9.無油感清透溫和卸妝液、10.嬰幼兒洗髮沐浴露","馥儀企業有限公司","衛部粧廣字10512055","1051213","1061224","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"衛福部","化粧品","1.LactoHair天然修護精華洗髮精、2.LactoHair天然活髮洗髮精","普力德生物科技股份有限公司","衛部粧廣字10512049","1051213","1061202","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","1.Nature Tree保濕時空膠囊2.乳木果油手足修護霜3.乳木果油沐浴乳","法齊有限公司","北市衛粧廣字105110314","1051129","1061128","電影、電視"
"臺北市","化粧品","1.Altie卸妝乳2.Altie洗面乳3.Altie化妝水4.Altie乳霜5.蘆薈深層洗髮精6.蘆薈深層潤髮乳7.蘆薈沐浴乳","和慕綠股份有限公司","北市衛粧廣字105110692","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","極緻完美金萃、極緻抗老完美霜等2項產品","台灣蜜納國際股份有限公司","北市衛粧廣字105110699","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","璐蔻R活膚亮采晶萃、極緻呵護煥采晶露、麗蓓思朵腮紅芯、麗蓓思朵眼影芯、瞬感彩粧 黑耀眼線液筆等5項產品","台灣安露莎股份有限公司","北市衛粧廣字105110700","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","白皙緊緻生物纖維面膜、水潤舒緩生物纖維面膜等2項產品","比利安國際股份有限公司","北市衛粧廣字105110701","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","1、克麗緹娜碧璽超導緊緻精華霜 2、克麗緹娜碧璽超導緊緻面膜","英屬維京群島商克麗緹娜行銷有限公司台灣分公司","北市衛粧廣字105110702","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","MOSCHINO 熊芯未泯淡香水 50ml","宏亞國際有限公司","北市衛粧廣字105110703","1051129","1061128","電影、電視"
"臺北市","化粧品","1、克麗緹娜碧璽超導緊緻精華霜 2、克麗緹娜碧璽超導緊緻面膜","英屬維京群島商克麗緹娜行銷有限公司台灣分公司","北市衛粧廣字105110704","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","1、我的美麗日記鳶尾花保濕彈力面膜 8入 2、我的美麗日記鳶尾花保濕彈力面膜 3入 3、我的美麗日記鳶尾花保濕彈力面膜 單入 4、我的美麗日記黑珍珠煥白面膜 單入 5、我的美麗日記官燕窩全效滋養面膜 單入 6、我的美麗日記角鯊烯修護保濕面膜 單入 7、我的美麗日記玻尿酸極效保濕面膜 單入 8、我的美麗日記納豆發酵保濕面膜 單入","統一藥品股份有限公司","北市衛粧廣字105110705","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","1、我的美麗日記鳶尾花保濕彈力面膜 8入 2、我的美麗日記馬油面膜 8入 3、我的美麗日記角鯊烯修護保濕面膜 8入","統一藥品股份有限公司","北市衛粧廣字105110706","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","1、我的美麗日記黑珍珠喚白面膜 8入 2、我的美麗日記黑曜岩黑面膜 5入","統一藥品股份有限公司","北市衛粧廣字105110707","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","Alpecin運動型咖啡因洗髮露","臺灣沃膚貿易有限公司","北市衛粧廣字105110708","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","Alpecin雙效咖啡因抗頭皮屑洗髮露","臺灣沃膚貿易有限公司","北市衛粧廣字105110709","1051129","1061128","電影、電視"
"臺北市","化粧品","1、Alpecin雙效咖啡因抗頭皮屑洗髮露 2、Alpecin運動型咖啡因洗髮露 3、Alpecin咖啡因洗髮露 4、Alpecin咖啡因頭髮液","臺灣沃膚貿易有限公司","北市衛粧廣字105110710","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","1.Nature Tree保濕時空膠囊2.乳木果油手足修護霜3.乳木果油沐浴乳","法齊有限公司","北市衛粧廣字105110314","1051129","1061128","電影、電視"
"臺北市","化粧品","1.Altie卸妝乳2.Altie洗面乳3.Altie化妝水4.Altie乳霜5.蘆薈深層洗髮精6.蘆薈深層潤髮乳7.蘆薈沐浴乳","和慕綠股份有限公司","北市衛粧廣字105110692","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺北市","化粧品","極緻完美金萃、極緻抗老完美霜等2項產品","台灣蜜納國際股份有限公司","北市衛粧廣字105110699","1051129","1061128","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
