MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
I00634,陶淵明大樓基地台,2014-10-15,嘉義市,東區,大雅路2段300號,手機基地臺,3E-07,mW/cm<sup>2</sup>,True
D00807,臺南市歸仁區中山路一段85號,2014-10-16,臺南市,歸仁區,看東村中山路一段85號,變電所,16.4,mG,True
N00882,大同國小,2014-11-11,彰化縣,伸港鄉,大同村彰新路七段724號,學校極低頻設施,16.579,mG,True
U10238,花市花崗街55號,2014-09-25,花蓮縣,花蓮市,花市花崗街55號,手機基地臺,0.0001342,mW/cm<sup>2</sup>,True
T00596,玉田國小落地型變壓器,2016-12-22,屏東縣,里港鄉,八德路91號,落地型變壓器,31.8,mG,True
X10166,湖西鄉沙港村基地台,2016-12-21,澎湖縣,湖西鄉,湖西鄉沙港村,手機基地臺,0.092,mW/cm<sup>2</sup>,True
X10165,湖西鄉湖東村基地台-2,2016-12-21,澎湖縣,湖西鄉,湖西鄉湖東村,手機基地臺,0.07,mW/cm<sup>2</sup>,True
M10133,南投縣南投市東山路408號7-11,2016-12-20,南投縣,南投市,南投市東山路408號,無線區域網路(Wi-Fi),1.45E-05,mW/cm<sup>2</sup>,True
M10134,南投市復興路38號7-11,2016-12-20,南投縣,南投市,南投市復興路38號,無線區域網路(Wi-Fi),1.66E-05,mW/cm<sup>2</sup>,True
H01072,松樹變電所量測,2016-08-09,桃園市,大溪區,仁善里松樹31號,變電所,12.4,mG,True
J00895,新豐鄉博學街與康泰路口_落地型變電箱量測,2016-12-14,新竹縣,新豐鄉,博學街,落地型變壓器,9.851,mG,True
J00889,新豐鄉保康街與博學街口_落地型變電箱量測,2016-12-14,新竹縣,新豐鄉,保康街,落地型變壓器,3.008,mG,True
T00588,和平國小落地型變壓器,2016-12-14,屏東縣,屏東市,屏東市華正路80號,落地型變壓器,20.3,mG,True
T00587,勝利國小落地型變壓器,2016-12-14,屏東縣,屏東市,蘭州街２號,落地型變壓器,5.8,mG,True
T00593,忠孝國小落地型變壓器,2016-12-20,屏東縣,屏東市,建豐路204號,落地型變壓器,33.1,mG,True
C00734,壽山路21-1號旁,2016-12-15,基隆市,信義區,壽山路21-1號,落地型變壓器,5.19,mG,True
C00733,壽山路轉彎處旁20公尺,2016-11-15,基隆市,信義區,壽山路轉彎處旁20公尺,落地型變壓器,7.34,mG,True
H01073,塘尾變電所量測,2016-08-23,桃園市,桃園區,桃科2路69號,變電所,2.3,mG,True
